#type  algo  firstChoice  nbRobots  time  resType
0 4 0 10 547 0
0 4 0 10 446 1
0 4 0 10 666 2
0 4 0 20 642 0
0 4 0 20 527 1
0 4 0 20 748 2
0 4 0 40 743 0
0 4 0 40 658 1
0 4 0 40 791 2
0 4 0 80 846 0
0 4 0 80 698 1
0 4 0 80 914 2
0 4 0 160 1113 0
0 4 0 160 989 1
0 4 0 160 1217 2
0 4 0 320 1245 0
0 4 0 320 1147 1
0 4 0 320 1371 2
