#type  algo  firstChoice  nbRobots  time  resType
0 5 0 5 319 0
0 5 0 5 271 1
0 5 0 5 364 2
0 5 0 10 304 0
0 5 0 10 244 1
0 5 0 10 336 2
0 5 0 15 352 0
0 5 0 15 318 1
0 5 0 15 398 2
0 5 0 20 328 0
0 5 0 20 314 1
0 5 0 20 337 2
0 5 0 25 337 0
0 5 0 25 241 1
0 5 0 25 431 2
0 5 0 30 366 0
0 5 0 30 312 1
0 5 0 30 432 2
0 5 0 35 378 0
0 5 0 35 295 1
0 5 0 35 427 2
0 5 0 40 298 0
0 5 0 40 235 1
0 5 0 40 374 2
0 5 0 45 322 0
0 5 0 45 290 1
0 5 0 45 369 2
0 5 0 50 349 0
0 5 0 50 300 1
0 5 0 50 400 2
0 5 0 55 349 0
0 5 0 55 323 1
0 5 0 55 385 2
0 5 0 60 308 0
0 5 0 60 240 1
0 5 0 60 354 2
0 5 0 65 288 0
0 5 0 65 238 1
0 5 0 65 321 2
0 5 0 70 329 0
0 5 0 70 309 1
0 5 0 70 353 2
0 5 0 75 330 0
0 5 0 75 312 1
0 5 0 75 358 2
0 5 0 80 359 0
0 5 0 80 338 1
0 5 0 80 381 2
0 5 0 85 323 0
0 5 0 85 309 1
0 5 0 85 342 2
0 5 0 90 323 0
0 5 0 90 267 1
0 5 0 90 365 2
0 5 0 95 302 0
0 5 0 95 274 1
0 5 0 95 332 2
0 5 0 100 325 0
0 5 0 100 300 1
0 5 0 100 348 2
0 5 0 160 328 0
0 5 0 160 276 1
0 5 0 160 365 2
0 5 0 200 331 0
0 5 0 200 315 1
0 5 0 200 374 2
0 5 0 300 329 0
0 5 0 300 287 1
0 5 0 300 358 2
0 5 0 320 297 0
0 5 0 320 265 1
0 5 0 320 347 2
0 5 0 400 322 0
0 5 0 400 283 1
0 5 0 400 350 2
0 5 0 500 314 0
0 5 0 500 299 1
0 5 0 500 331 2
0 5 0 600 315 0
0 5 0 600 225 1
0 5 0 600 362 2
0 5 0 700 294 0
0 5 0 700 226 1
0 5 0 700 350 2
0 5 0 800 299 0
0 5 0 800 243 1
0 5 0 800 376 2
